workorder_id,equipment_id,equipment_type,branch,customer_name,accredited,technician
Ho-WO-00000,Ho-EQ-00000-0,flow_meter,Houston,Rodriguez-Summers,yes,Jeffrey Pham
Ho-WO-00001,Ho-EQ-00001-0,flow_meter,Houston,Ross Inc,yes,Katelyn Hodges
Ho-WO-00001,Ho-EQ-00001-1,scale,Houston,Ross Inc,no,Katelyn Hodges
Ho-WO-00002,Ho-EQ-00002-0,torque,Houston,"Humphrey, Mullins and Moore",no,Katrina Bartlett
Ho-WO-00002,Ho-EQ-00002-1,thermometer,Houston,"Humphrey, Mullins and Moore",no,Katelyn Hodges
Ho-WO-00003,Ho-EQ-00003-0,thermometer,Houston,Davis and Sons,yes,Jeffrey Pham
Ho-WO-00003,Ho-EQ-00003-1,torque,Houston,Davis and Sons,no,Katelyn Hodges
Ho-WO-00004,Ho-EQ-00004-0,scale,Houston,Miller-Mcguire,yes,Katrina Bartlett
Ho-WO-00004,Ho-EQ-00004-1,thermometer,Houston,Miller-Mcguire,yes,Jeffrey Pham
Ho-WO-00005,Ho-EQ-00005-0,scale,Houston,Reed-Moody,yes,Katrina Bartlett
Ho-WO-00005,Ho-EQ-00005-1,caliper,Houston,Reed-Moody,no,Katrina Bartlett
Ho-WO-00006,Ho-EQ-00006-0,torque,Houston,Miller-Decker,yes,Katelyn Hodges
Ho-WO-00006,Ho-EQ-00006-1,scale,Houston,Miller-Decker,no,Katelyn Hodges
Ho-WO-00007,Ho-EQ-00007-0,caliper,Houston,Mann PLC,no,Jeffrey Pham
Ho-WO-00008,Ho-EQ-00008-0,torque,Houston,Arnold-Peters,yes,Jeffrey Pham
Ho-WO-00008,Ho-EQ-00008-1,thermometer,Houston,Arnold-Peters,yes,Katelyn Hodges
Ho-WO-00008,Ho-EQ-00008-2,caliper,Houston,Arnold-Peters,no,Katelyn Hodges
Ho-WO-00009,Ho-EQ-00009-0,thermometer,Houston,Potts-Huang,no,Katrina Bartlett
Ho-WO-00010,Ho-EQ-00010-0,flow_meter,Houston,Rodriguez-Summers,yes,Katrina Bartlett
Ho-WO-00010,Ho-EQ-00010-1,flow_meter,Houston,Rodriguez-Summers,yes,Katrina Bartlett
Ho-WO-00011,Ho-EQ-00011-0,thermometer,Houston,Cole-Cervantes,no,Katrina Bartlett
Ho-WO-00012,Ho-EQ-00012-0,flow_meter,Houston,Ross Inc,no,Katelyn Hodges
Ho-WO-00012,Ho-EQ-00012-1,caliper,Houston,Ross Inc,yes,Katrina Bartlett
Ho-WO-00012,Ho-EQ-00012-2,flow_meter,Houston,Ross Inc,no,Katrina Bartlett
Ho-WO-00013,Ho-EQ-00013-0,pressure_gauge,Houston,Thomas LLC,no,Jeffrey Pham
Ho-WO-00013,Ho-EQ-00013-1,pressure_gauge,Houston,Thomas LLC,yes,Katelyn Hodges
Ho-WO-00014,Ho-EQ-00014-0,flow_meter,Houston,Orr LLC,yes,Katelyn Hodges
Ho-WO-00014,Ho-EQ-00014-1,torque,Houston,Orr LLC,no,Katrina Bartlett
Ho-WO-00015,Ho-EQ-00015-0,flow_meter,Houston,Reed-Moody,no,Katelyn Hodges
Ho-WO-00016,Ho-EQ-00016-0,pressure_gauge,Houston,Rodriguez Inc,no,Jeffrey Pham
Ho-WO-00017,Ho-EQ-00017-0,caliper,Houston,Grant and Sons,no,Jeffrey Pham
Ho-WO-00018,Ho-EQ-00018-0,scale,Houston,Parker-Lee,yes,Katrina Bartlett
Ho-WO-00019,Ho-EQ-00019-0,torque,Houston,Kelley-Ramirez,yes,Katrina Bartlett
Ho-WO-00020,Ho-EQ-00020-0,pressure_gauge,Houston,Smith-Copeland,yes,Katrina Bartlett
Ho-WO-00020,Ho-EQ-00020-1,caliper,Houston,Smith-Copeland,yes,Katelyn Hodges
Ho-WO-00021,Ho-EQ-00021-0,scale,Houston,Thomas LLC,yes,Katelyn Hodges
Ho-WO-00021,Ho-EQ-00021-1,pressure_gauge,Houston,Thomas LLC,no,Katelyn Hodges
Ho-WO-00022,Ho-EQ-00022-0,thermometer,Houston,"Delgado, Krause and Lopez",no,Katrina Bartlett
Ho-WO-00022,Ho-EQ-00022-1,flow_meter,Houston,"Delgado, Krause and Lopez",yes,Jeffrey Pham
Ho-WO-00023,Ho-EQ-00023-0,scale,Houston,Hamilton Group,yes,Katelyn Hodges
Ho-WO-00023,Ho-EQ-00023-1,pressure_gauge,Houston,Hamilton Group,no,Jeffrey Pham
Ho-WO-00024,Ho-EQ-00024-0,flow_meter,Houston,Fletcher-Boone,yes,Katelyn Hodges
Ho-WO-00025,Ho-EQ-00025-0,flow_meter,Houston,Collins and Sons,yes,Katelyn Hodges
Ho-WO-00026,Ho-EQ-00026-0,flow_meter,Houston,Gonzalez Ltd,yes,Jeffrey Pham
Ho-WO-00027,Ho-EQ-00027-0,caliper,Houston,Cole-Cervantes,yes,Jeffrey Pham
Ho-WO-00027,Ho-EQ-00027-1,caliper,Houston,Cole-Cervantes,no,Katelyn Hodges
Ho-WO-00027,Ho-EQ-00027-2,caliper,Houston,Cole-Cervantes,yes,Katelyn Hodges
Ho-WO-00028,Ho-EQ-00028-0,scale,Houston,Mann PLC,no,Katrina Bartlett
Ho-WO-00028,Ho-EQ-00028-1,pressure_gauge,Houston,Mann PLC,yes,Katelyn Hodges
Ho-WO-00028,Ho-EQ-00028-2,scale,Houston,Mann PLC,no,Katelyn Hodges
Ho-WO-00029,Ho-EQ-00029-0,thermometer,Houston,Ruiz-Davis,yes,Jeffrey Pham
Ho-WO-00030,Ho-EQ-00030-0,caliper,Houston,Ellis Group,yes,Jeffrey Pham
Ho-WO-00031,Ho-EQ-00031-0,thermometer,Houston,Miller-Decker,yes,Jeffrey Pham
Ho-WO-00031,Ho-EQ-00031-1,scale,Houston,Miller-Decker,yes,Katrina Bartlett
Ho-WO-00032,Ho-EQ-00032-0,thermometer,Houston,Ruiz-Davis,yes,Katrina Bartlett
Ho-WO-00032,Ho-EQ-00032-1,thermometer,Houston,Ruiz-Davis,no,Jeffrey Pham
Ho-WO-00033,Ho-EQ-00033-0,scale,Houston,James-Nichols,no,Jeffrey Pham
Ho-WO-00033,Ho-EQ-00033-1,pressure_gauge,Houston,James-Nichols,no,Katrina Bartlett
Ho-WO-00034,Ho-EQ-00034-0,flow_meter,Houston,Mcdowell-Brooks,yes,Katelyn Hodges
Ho-WO-00034,Ho-EQ-00034-1,pressure_gauge,Houston,Mcdowell-Brooks,no,Katrina Bartlett
Ho-WO-00034,Ho-EQ-00034-2,torque,Houston,Mcdowell-Brooks,no,Katelyn Hodges
Ho-WO-00035,Ho-EQ-00035-0,caliper,Houston,Hardin-Mcdonald,no,Jeffrey Pham
Ho-WO-00035,Ho-EQ-00035-1,flow_meter,Houston,Hardin-Mcdonald,yes,Katelyn Hodges
Ho-WO-00035,Ho-EQ-00035-2,torque,Houston,Hardin-Mcdonald,no,Katrina Bartlett
Ho-WO-00036,Ho-EQ-00036-0,scale,Houston,Serrano Inc,no,Jeffrey Pham
Ho-WO-00036,Ho-EQ-00036-1,thermometer,Houston,Serrano Inc,no,Katelyn Hodges
Ho-WO-00037,Ho-EQ-00037-0,torque,Houston,"Cole, Velasquez and Johnson",yes,Katelyn Hodges
Ho-WO-00037,Ho-EQ-00037-1,thermometer,Houston,"Cole, Velasquez and Johnson",yes,Katrina Bartlett
Ho-WO-00038,Ho-EQ-00038-0,torque,Houston,Wells Inc,yes,Jeffrey Pham
Ho-WO-00038,Ho-EQ-00038-1,flow_meter,Houston,Wells Inc,yes,Jeffrey Pham
Ho-WO-00039,Ho-EQ-00039-0,caliper,Houston,"Humphrey, Mullins and Moore",yes,Katrina Bartlett
Ho-WO-00039,Ho-EQ-00039-1,scale,Houston,"Humphrey, Mullins and Moore",yes,Jeffrey Pham
Ho-WO-00039,Ho-EQ-00039-2,flow_meter,Houston,"Humphrey, Mullins and Moore",no,Katelyn Hodges
Ho-WO-00040,Ho-EQ-00040-0,caliper,Houston,Ellis Group,no,Katelyn Hodges
Ho-WO-00041,Ho-EQ-00041-0,torque,Houston,Parker-Reeves,no,Katelyn Hodges
Ho-WO-00042,Ho-EQ-00042-0,caliper,Houston,Walker-Morales,no,Katrina Bartlett
Ho-WO-00043,Ho-EQ-00043-0,flow_meter,Houston,Grant and Sons,no,Katrina Bartlett
Ho-WO-00043,Ho-EQ-00043-1,torque,Houston,Grant and Sons,no,Jeffrey Pham
Ho-WO-00044,Ho-EQ-00044-0,flow_meter,Houston,"Hawkins, Campos and Booth",no,Jeffrey Pham
Ho-WO-00045,Ho-EQ-00045-0,caliper,Houston,Davis and Sons,yes,Jeffrey Pham
Ho-WO-00045,Ho-EQ-00045-1,thermometer,Houston,Davis and Sons,yes,Jeffrey Pham
Ho-WO-00045,Ho-EQ-00045-2,torque,Houston,Davis and Sons,no,Katelyn Hodges
Ho-WO-00046,Ho-EQ-00046-0,torque,Houston,Gonzalez Ltd,yes,Katelyn Hodges
Ho-WO-00046,Ho-EQ-00046-1,flow_meter,Houston,Gonzalez Ltd,yes,Jeffrey Pham
Ho-WO-00046,Ho-EQ-00046-2,thermometer,Houston,Gonzalez Ltd,no,Katelyn Hodges
Ho-WO-00047,Ho-EQ-00047-0,flow_meter,Houston,Banks-Hughes,no,Katelyn Hodges
Ho-WO-00047,Ho-EQ-00047-1,thermometer,Houston,Banks-Hughes,yes,Katelyn Hodges
Ho-WO-00047,Ho-EQ-00047-2,scale,Houston,Banks-Hughes,no,Jeffrey Pham
Ho-WO-00048,Ho-EQ-00048-0,flow_meter,Houston,"Castro, Austin and Sparks",yes,Katrina Bartlett
Ho-WO-00049,Ho-EQ-00049-0,pressure_gauge,Houston,Riddle-Faulkner,no,Jeffrey Pham
Ho-WO-00049,Ho-EQ-00049-1,torque,Houston,Riddle-Faulkner,no,Jeffrey Pham
Ho-WO-00049,Ho-EQ-00049-2,torque,Houston,Riddle-Faulkner,yes,Katelyn Hodges
Ho-WO-00050,Ho-EQ-00050-0,thermometer,Houston,Fletcher-Boone,no,Katelyn Hodges
Ho-WO-00050,Ho-EQ-00050-1,torque,Houston,Fletcher-Boone,yes,Katelyn Hodges
Ho-WO-00051,Ho-EQ-00051-0,torque,Houston,Carter Group,no,Katelyn Hodges
Ho-WO-00051,Ho-EQ-00051-1,scale,Houston,Carter Group,no,Katrina Bartlett
Ho-WO-00052,Ho-EQ-00052-0,caliper,Houston,Banks-Hughes,no,Katelyn Hodges
Ho-WO-00052,Ho-EQ-00052-1,caliper,Houston,Banks-Hughes,yes,Katelyn Hodges
Ho-WO-00052,Ho-EQ-00052-2,caliper,Houston,Banks-Hughes,no,Katrina Bartlett
Ho-WO-00053,Ho-EQ-00053-0,torque,Houston,"Cole, Velasquez and Johnson",yes,Jeffrey Pham
Ho-WO-00054,Ho-EQ-00054-0,torque,Houston,Ball LLC,no,Katrina Bartlett
Ho-WO-00054,Ho-EQ-00054-1,thermometer,Houston,Ball LLC,no,Katrina Bartlett
Ho-WO-00054,Ho-EQ-00054-2,caliper,Houston,Ball LLC,yes,Jeffrey Pham
Ho-WO-00055,Ho-EQ-00055-0,scale,Houston,Mcdowell-Brooks,no,Katelyn Hodges
Ho-WO-00055,Ho-EQ-00055-1,caliper,Houston,Mcdowell-Brooks,yes,Katelyn Hodges
Ho-WO-00055,Ho-EQ-00055-2,thermometer,Houston,Mcdowell-Brooks,no,Katrina Bartlett
Ho-WO-00056,Ho-EQ-00056-0,flow_meter,Houston,"Rose, Rivera and Cox",yes,Katelyn Hodges
Ho-WO-00056,Ho-EQ-00056-1,caliper,Houston,"Rose, Rivera and Cox",no,Katrina Bartlett
Ho-WO-00057,Ho-EQ-00057-0,scale,Houston,Kelley-Ramirez,yes,Katelyn Hodges
