workorder_id,equipment_id,equipment_type,branch,customer_name,accredited,technician
Lo-WO-00000,Lo-EQ-00000-0,torque,Los_Angeles,Tucker-Nelson,yes,Steven Hicks
Lo-WO-00000,Lo-EQ-00000-1,flow_meter,Los_Angeles,Tucker-Nelson,no,Jennifer Mccormick
Lo-WO-00001,Lo-EQ-00001-0,torque,Los_Angeles,Brown and Sons,yes,Steven Hicks
Lo-WO-00001,Lo-EQ-00001-1,scale,Los_Angeles,Brown and Sons,no,Kimberly Landry
Lo-WO-00001,Lo-EQ-00001-2,flow_meter,Los_Angeles,Brown and Sons,no,Steven Hicks
Lo-WO-00002,Lo-EQ-00002-0,pressure_gauge,Los_Angeles,"Thompson, Anderson and Hopkins",yes,Steven Hicks
Lo-WO-00002,Lo-EQ-00002-1,thermometer,Los_Angeles,"Thompson, Anderson and Hopkins",no,Kimberly Landry
Lo-WO-00002,Lo-EQ-00002-2,scale,Los_Angeles,"Thompson, Anderson and Hopkins",no,Jennifer Mccormick
Lo-WO-00003,Lo-EQ-00003-0,caliper,Los_Angeles,"Bell, Haney and Roberson",no,Kimberly Landry
Lo-WO-00003,Lo-EQ-00003-1,pressure_gauge,Los_Angeles,"Bell, Haney and Roberson",yes,Steven Hicks
Lo-WO-00003,Lo-EQ-00003-2,thermometer,Los_Angeles,"Bell, Haney and Roberson",no,Kimberly Landry
Lo-WO-00004,Lo-EQ-00004-0,thermometer,Los_Angeles,Reed-Moody,yes,Kimberly Landry
Lo-WO-00004,Lo-EQ-00004-1,pressure_gauge,Los_Angeles,Reed-Moody,yes,Jennifer Mccormick
Lo-WO-00005,Lo-EQ-00005-0,pressure_gauge,Los_Angeles,Parker-Lee,no,Jennifer Mccormick
Lo-WO-00006,Lo-EQ-00006-0,caliper,Los_Angeles,"Cole, Velasquez and Johnson",yes,Jennifer Mccormick
Lo-WO-00007,Lo-EQ-00007-0,pressure_gauge,Los_Angeles,"Dillon, Morton and Wood",no,Kimberly Landry
Lo-WO-00008,Lo-EQ-00008-0,pressure_gauge,Los_Angeles,"Humphrey, Mullins and Moore",no,Jennifer Mccormick
Lo-WO-00008,Lo-EQ-00008-1,thermometer,Los_Angeles,"Humphrey, Mullins and Moore",yes,Kimberly Landry
Lo-WO-00008,Lo-EQ-00008-2,torque,Los_Angeles,"Humphrey, Mullins and Moore",yes,Jennifer Mccormick
Lo-WO-00009,Lo-EQ-00009-0,scale,Los_Angeles,Ross Inc,yes,Kimberly Landry
Lo-WO-00010,Lo-EQ-00010-0,caliper,Los_Angeles,"Castro, Austin and Sparks",no,Kimberly Landry
Lo-WO-00011,Lo-EQ-00011-0,torque,Los_Angeles,"Erickson, Hughes and Craig",no,Kimberly Landry
Lo-WO-00012,Lo-EQ-00012-0,torque,Los_Angeles,"Copeland, Torres and Morales",no,Steven Hicks
Lo-WO-00012,Lo-EQ-00012-1,pressure_gauge,Los_Angeles,"Copeland, Torres and Morales",yes,Kimberly Landry
Lo-WO-00012,Lo-EQ-00012-2,caliper,Los_Angeles,"Copeland, Torres and Morales",yes,Jennifer Mccormick
Lo-WO-00013,Lo-EQ-00013-0,thermometer,Los_Angeles,Stephenson-Herring,no,Jennifer Mccormick
Lo-WO-00014,Lo-EQ-00014-0,torque,Los_Angeles,Rodriguez-Summers,yes,Kimberly Landry
Lo-WO-00015,Lo-EQ-00015-0,scale,Los_Angeles,Smith-Anthony,no,Jennifer Mccormick
Lo-WO-00016,Lo-EQ-00016-0,scale,Los_Angeles,"Alexander, Green and Mcbride",yes,Steven Hicks
Lo-WO-00017,Lo-EQ-00017-0,flow_meter,Los_Angeles,Thomas LLC,no,Steven Hicks
Lo-WO-00017,Lo-EQ-00017-1,flow_meter,Los_Angeles,Thomas LLC,no,Kimberly Landry
Lo-WO-00017,Lo-EQ-00017-2,flow_meter,Los_Angeles,Thomas LLC,no,Kimberly Landry
Lo-WO-00018,Lo-EQ-00018-0,thermometer,Los_Angeles,"Mcgrath, Barton and Carter",yes,Steven Hicks
Lo-WO-00018,Lo-EQ-00018-1,flow_meter,Los_Angeles,"Mcgrath, Barton and Carter",yes,Steven Hicks
Lo-WO-00019,Lo-EQ-00019-0,caliper,Los_Angeles,Smith-Fernandez,yes,Kimberly Landry
Lo-WO-00020,Lo-EQ-00020-0,scale,Los_Angeles,"Bell, Haney and Roberson",yes,Kimberly Landry
Lo-WO-00020,Lo-EQ-00020-1,flow_meter,Los_Angeles,"Bell, Haney and Roberson",no,Jennifer Mccormick
Lo-WO-00020,Lo-EQ-00020-2,flow_meter,Los_Angeles,"Bell, Haney and Roberson",yes,Steven Hicks
Lo-WO-00021,Lo-EQ-00021-0,pressure_gauge,Los_Angeles,Fletcher-Boone,no,Kimberly Landry
Lo-WO-00021,Lo-EQ-00021-1,scale,Los_Angeles,Fletcher-Boone,yes,Jennifer Mccormick
Lo-WO-00022,Lo-EQ-00022-0,caliper,Los_Angeles,Spencer-Williams,yes,Jennifer Mccormick
Lo-WO-00022,Lo-EQ-00022-1,pressure_gauge,Los_Angeles,Spencer-Williams,yes,Steven Hicks
Lo-WO-00023,Lo-EQ-00023-0,pressure_gauge,Los_Angeles,"Copeland, Torres and Morales",no,Jennifer Mccormick
Lo-WO-00023,Lo-EQ-00023-1,thermometer,Los_Angeles,"Copeland, Torres and Morales",yes,Kimberly Landry
Lo-WO-00024,Lo-EQ-00024-0,scale,Los_Angeles,Hardin-Mcdonald,no,Kimberly Landry
Lo-WO-00025,Lo-EQ-00025-0,thermometer,Los_Angeles,"Copeland, Torres and Morales",yes,Jennifer Mccormick
